number,portrait,name,date_of_birth,date_of_death,term,party,election,vice_president
1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington_%283x4_cropped%29.jpg/250px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington_%283x4_cropped%29.jpg,George Washington,1732-02-22,1799-12-14,"April 30, 1789 – March 4, 1797",Unaffiliated,1788–89; 1792,John Adams
2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/John_Adams_A18236_%28cropped%29.jpg/250px-John_Adams_A18236_%28cropped%29.jpg,John Adams,1735-10-30,1826-07-04,"March 4, 1797 – March 4, 1801",Federalist,1796,Thomas Jefferson
3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29_%283x4_cropped%29.jpg/250px-Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29_%283x4_cropped%29.jpg,Thomas Jefferson,1743-04-13,1826-07-04,"March 4, 1801 – March 4, 1809",Democratic-Republican,1800; 1804,Aaron Burr; George Clinton
4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/James_Madison_Portrait_1816_%283x4_cropped%29.jpg/250px-James_Madison_Portrait_1816_%283x4_cropped%29.jpg,James Madison,1751-03-16,1836-06-28,"March 4, 1809 – March 4, 1817",Democratic-Republican,1808; 1812,George Clinton; Elbridge Gerry
5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/James_Monroe_White_House_portrait_1819_%28cropped_3x4_close%29.jpg/250px-James_Monroe_White_House_portrait_1819_%28cropped_3x4_close%29.jpg,James Monroe,1758-04-28,1831-07-04,"March 4, 1817 – March 4, 1825",Democratic-Republican,1816; 1820,Daniel D. Tompkins
6,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/John_Quincy_Adams_1858_%283x4_cropped%29.jpg/250px-John_Quincy_Adams_1858_%283x4_cropped%29.jpg,John Quincy Adams,1767-07-11,1848-02-23,"March 4, 1825 – March 4, 1829",Democratic-Republican; National Republican,1824,John C. Calhoun
7,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Andrew_jackson_head_%283x4_cropped%29.jpg/250px-Andrew_jackson_head_%283x4_cropped%29.jpg,Andrew Jackson,1767-03-15,1845-06-08,"March 4, 1829 – March 4, 1837",Democratic,1828; 1832,John C. Calhoun; Martin Van Buren
8,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Martin_Van_Buren_circa_1837_%283x4_cropped%29.jpg/250px-Martin_Van_Buren_circa_1837_%283x4_cropped%29.jpg,Martin Van Buren,1782-12-05,1862-07-24,"March 4, 1837 – March 4, 1841",Democratic,1836,Richard Mentor Johnson
9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/William_Henry_Harrison_Portrait_%283x4_cropped%29.jpg/250px-William_Henry_Harrison_Portrait_%283x4_cropped%29.jpg,William Henry Harrison,1773-02-09,1841-04-04,"March 4, 1841 – April 4, 1841",Whig,1840,John Tyler
10,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/John_Tyler_%28cropped_3x4%29_%28cropped%29%282%29.png/250px-John_Tyler_%28cropped_3x4%29_%28cropped%29%282%29.png,John Tyler,1790-03-29,1862-01-18,"April 4, 1841 – March 4, 1845",Whig; Unaffiliated,,
11,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/James_K_Polk_%283x4_cropped%29.jpg/250px-James_K_Polk_%283x4_cropped%29.jpg,James K. Polk,1795-11-02,1849-06-15,"March 4, 1845 – March 4, 1849",Democratic,1844,George M. Dallas
12,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Zachary_Taylor_restored_%283x4_cropped%29.jpg/250px-Zachary_Taylor_restored_%283x4_cropped%29.jpg,Zachary Taylor,1784-11-24,1850-07-09,"March 4, 1849 – July 9, 1850",Whig,1848,Millard Fillmore
13,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Fillmore_%28cropped%29.jpg/250px-Fillmore_%28cropped%29.jpg,Millard Fillmore,1800-01-07,1874-03-08,"July 9, 1850 – March 4, 1853",Whig,,
14,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_%28cropped%29%282%29.jpg/250px-Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_%28cropped%29%282%29.jpg,Franklin Pierce,1804-11-23,1869-10-08,"March 4, 1853 – March 4, 1857",Democratic,1852,William R. King
15,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/James_Buchanan_%28cropped_3x4%29.jpg/250px-James_Buchanan_%28cropped_3x4%29.jpg,James Buchanan,1791-04-23,1868-06-01,"March 4, 1857 – March 4, 1861",Democratic,1856,John C. Breckinridge
16,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Abraham_Lincoln_1863_Portrait_%283x4_cropped%29.jpg/250px-Abraham_Lincoln_1863_Portrait_%283x4_cropped%29.jpg,Abraham Lincoln,1809-02-12,1865-04-15,"March 4, 1861 – April 15, 1865",Republican; National Union,1860; 1864,Hannibal Hamlin; Andrew Johnson
17,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Andrew_Johnson_photo_portrait_head_and_shoulders_%283x4_cropped%29.jpg/250px-Andrew_Johnson_photo_portrait_head_and_shoulders_%283x4_cropped%29.jpg,Andrew Johnson,1808-12-29,1875-07-31,"April 15, 1865 – March 4, 1869",National Union; Democratic,,
18,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Ulysses_S_Grant_by_Brady_c1870-restored_%283x4_cropped%29.jpg/250px-Ulysses_S_Grant_by_Brady_c1870-restored_%283x4_cropped%29.jpg,Ulysses S. Grant,1822-04-27,1885-07-23,"March 4, 1869 – March 4, 1877",Republican,1868; 1872,Schuyler Colfax; Henry Wilson
19,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/President_Rutherford_Hayes_1870_-_1880_%283x4_cropped%29.jpg/250px-President_Rutherford_Hayes_1870_-_1880_%283x4_cropped%29.jpg,Rutherford B. Hayes,1822-10-04,1893-01-17,"March 4, 1877 – March 4, 1881",Republican,1876,William A. Wheeler
20,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/James_Abram_Garfield%2C_photo_portrait_seated_%283x4_cropped_b%29.jpg/250px-James_Abram_Garfield%2C_photo_portrait_seated_%283x4_cropped_b%29.jpg,James A. Garfield,1831-11-19,1881-09-19,"March 4, 1881 – September 19, 1881",Republican,1880,Chester A. Arthur
21,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Chester_A._Arthur_by_Abraham_Bogardus_%28cropped%29_%282%29.jpg/250px-Chester_A._Arthur_by_Abraham_Bogardus_%28cropped%29_%282%29.jpg,Chester A. Arthur,1829-10-05,1886-11-18,"September 19, 1881 – March 4, 1885",Republican,,
22,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Grover_Cleveland_by_Charles_Milton_Bell_color_change_%283x4_cropped_b%29.jpg/250px-Grover_Cleveland_by_Charles_Milton_Bell_color_change_%283x4_cropped_b%29.jpg,Grover Cleveland,1837-03-18,1908-06-24,"March 4, 1885 – March 4, 1889",Democratic,1884,Thomas A. Hendricks
23,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896_%284x5_cropped%29.jpg/250px-Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896_%284x5_cropped%29.jpg,Benjamin Harrison,1833-08-20,1901-03-13,"March 4, 1889 – March 4, 1893",Republican,1888,Levi P. Morton
