cat_id,name,date_of_birth,color,country,gender,breed,price
1,Luna,2021-08-02,cream,GERMANY,MALE,Siamese,1928
2,Milo,2018-10-13,silver,MEXICO,MALE,Siamese,4937
3,Oliver,2020-05-14,cream,USA,MALE,Persian,2005
4,Leo,2020-10-31,cream,MEXICO,MALE,RussianBlue,4564
5,Loki,2020-05-09,brown,MEXICO,FEMALE,Bengal,153
6,Bella,2022-04-04,silver,ITALY,FEMALE,MaineCoon,2376
7,Chloe,2018-11-15,smoke,GERMANY,MALE,Bengal,859
8,Simba,2020-02-18,white,GERMANY,FEMALE,Siamese,455
9,Nala,2022-02-03,tabby,USA,FEMALE,ScottishFold,745
10,Cleo,2021-02-04,smoke,MEXICO,FEMALE,Sphynx,4829
11,Zoe,2019-01-29,cream,CANADA,FEMALE,Siamese,753
12,Oscar,2022-10-18,smoke,USA,FEMALE,Bengal,2377
13,Misty,2020-07-17,black,GERMANY,FEMALE,Ragdoll,1816
14,Muffin,2021-10-04,silver,USA,MALE,Sphynx,4475
15,Rocky,2022-02-02,black,ITALY,FEMALE,Bengal,2311
16,Sasha,2023-03-11,black,GERMANY,MALE,Abyssinian,1976
17,Pumpkin,2022-08-11,smoke,GERMANY,FEMALE,Persian,2293
18,Ginger,2018-05-16,tabby,GERMANY,MALE,Bengal,4189
19,Snowy,2020-03-21,black,GERMANY,MALE,ScottishFold,2120
20,Salem,2022-03-06,tabby,GERMANY,FEMALE,Abyssinian,4880
21,Coco,2020-03-28,black,CANADA,FEMALE,Ragdoll,844
22,Mittens,2022-03-28,smoke,USA,MALE,Persian,1410
23,Whiskers,2022-06-11,tabby,USA,FEMALE,BritishShorthair,3226
24,Toby,2021-05-05,tabby,GERMANY,MALE,ScottishFold,1038
25,Daisy,2021-10-28,smoke,GERMANY,FEMALE,Abyssinian,1013
26,Mocha,2019-08-25,black,ITALY,MALE,BritishShorthair,2257
27,Felix,2023-06-14,smoke,CANADA,MALE,Abyssinian,2544
28,Smokey,2022-09-20,tabby,CANADA,MALE,Abyssinian,3163
29,Lily,2022-04-11,tabby,MEXICO,MALE,MaineCoon,2755
30,Shadow,2020-09-27,cream,GERMANY,FEMALE,Persian,2061
31,Ruby,2018-04-29,tabby,USA,MALE,Bengal,4081
32,Pearl,2022-07-30,smoke,MEXICO,MALE,Siamese,1151
33,Sunny,2021-09-13,tabby,CANADA,FEMALE,ScottishFold,4422
34,Jasper,2022-11-22,brown,CANADA,MALE,RussianBlue,2653
35,Poppy,2020-03-28,brown,MEXICO,FEMALE,Ragdoll,1091
36,Charlie,2019-05-23,cream,GERMANY,MALE,Bengal,4919
37,Pepper,2021-02-08,tabby,CANADA,MALE,Bengal,681
38,Mango,2021-12-20,black,USA,MALE,Persian,2806
39,Marble,2018-05-26,black,GERMANY,FEMALE,Abyssinian,1855
40,Ash,2021-01-09,silver,MEXICO,FEMALE,MaineCoon,2090
41,Echo,2022-05-26,smoke,ITALY,MALE,ScottishFold,872
42,Storm,2018-07-18,white,ITALY,FEMALE,BritishShorthair,3925
43,Ivy,2022-11-05,silver,USA,MALE,Persian,3398
44,Onyx,2022-01-31,smoke,USA,MALE,Ragdoll,1669
45,Angel,2019-01-25,brown,CANADA,FEMALE,Abyssinian,1603
46,Tiger,2019-07-25,black,USA,FEMALE,ScottishFold,4608
47,Panda,2018-07-20,silver,MEXICO,MALE,Persian,864
48,Hazel,2023-03-13,black,ITALY,FEMALE,Bengal,4043
49,Cupcake,2019-03-14,cream,CANADA,FEMALE,BritishShorthair,117
