cat_id,trick_id
55,2
58,1
45,1
36,7
50,6
47,7
28,3
5,1
5,10
19,9
30,9
51,7
9,8
11,5
2,2
57,2
48,8
35,8
24,8
29,4
7,1
7,10
18,10
55,4
54,6
56,3
59,2
45,3
47,9
27,6
36,9
28,5
8,2
5,3
9,1
30,2
52,8
41,8
57,4
46,4
35,1
32,5
13,10
38,9
40,6
6,4
18,3
15,7
21,2
49,9
29,6
39,10
53,9
54,8
22,3
45,5
37,1
27,8
37,10
5,5
17,7
60,5
51,2
8,4
19,4
41,1
3,8
52,10
43,7
32,7
41,10
24,3
26,9
15,9
16,8
7,5
21,4
18,5
6,6
54,1
55,8
31,8
22,5
36,4
27,1
3,1
45,7
28,9
5,7
30,6
9,5
52,3
43,9
32,9
33,8
24,5
13,5
49,4
15,2
18,7
7,7
39,5
53,4
31,1
20,1
31,10
22,7
47,6
20,10
37,5
17,2
28,2
56,9
5,9
60,9
50,8
41,5
43,2
52,5
11,4
24,7
15,4
13,7
16,3
25,6
26,4
18,9
55,3
54,5
56,2
12,8
14,5
37,7
17,4
4,4
50,1
43,4
32,4
44,3
10,1
42,6
33,3
35,9
26,6
25,8
16,5
18,2
1,7
53,8
40,8
20,5
22,2
45,4
12,1
34,4
31,5
29,8
12,10
3,7
14,7
4,6
60,4
51,1
50,3
5,4
51,10
52,9
32,6
42,8
33,5
44,5
10,3
25,1
1,9
25,10
7,4
39,2
53,1
29,1
40,10
54,9
20,7
29,10
6,8
34,6
5,6
58,9
55,10
51,3
50,5
52,2
59,8
42,1
30,8
10,5
13,4
35,4
25,3
57,10
40,3
29,3
54,2
31,9
22,6
21,8
23,5
37,4
20,9
58,2
4,10
50,7
52,4
32,1
30,1
43,1
41,4
42,3
8,1
19,10
10,7
2,3
16,2
57,3
46,3
48,9
39,6
29,5
20,2
6,3
31,2
23,7
14,4
3,4
58,4
36,1
59,3
36,10
50,9
28,6
30,3
33,2
42,5
17,6
1,6
11,8
16,4
46,5
48,2
49,1
38,1
38,10
6,5
26,8
22,1
31,4
23,9
14,6
55,7
58,6
53,10
36,3
47,3
12,9
59,5
17,8
8,5
44,4
30,5
19,5
28,8
11,10
2,7
57,7
39,1
15,1
49,3
15,10
40,9
6,7
20,6
18,6
53,3
45,8
47,5
36,5
27,2
17,1
28,10
30,7
10,4
19,7
8,7
43,10
46,9
48,6
15,3
29,2
49,5
18,8
21,7
61,2
61,7
61,11
62,3
62,12
62,14
63,5
63,6
63,13
64,1
64,4
64,8
64,11
65,2
65,7
65,12
66,3
66,9
66,14
67,1
67,5
67,11
68,4
68,6
68,13
68,15
69,2
69,7
69,8
70,1
70,3
70,12
70,15
71,5
71,9
71,11
71,14
72,2
72,6
72,13
73,1
73,4
73,7
73,12
73,15
74,3
74,8
74,11
74,14
75,2
75,5
75,6
75,13
76,1
76,9
76,12
77,4
77,7
77,11
77,15
78,2
78,3
78,6
78,13
78,14
79,1
79,5
79,8
79,12
80,3
80,4
80,7
80,11
80,15
