cat_id,name,date_of_birth,color,country,gender,breed,price,image_url
1,Luna,2021-08-02,cream,GERMANY,MALE,Siamese,1928,https://robohash.org/Luna_cat1?set=4&size=150x150
2,Milo,2018-10-13,silver,MEXICO,MALE,Siamese,4937,https://robohash.org/Milo_cat2?set=4&size=150x150
3,Oliver,2020-05-14,cream,USA,MALE,Persian,2005,https://robohash.org/Oliver_cat3?set=4&size=150x150
4,Leo,2020-10-31,cream,MEXICO,MALE,RussianBlue,4564,https://robohash.org/Leo_cat4?set=4&size=150x150
5,Loki,2020-05-09,brown,MEXICO,FEMALE,Bengal,153,https://robohash.org/Loki_cat5?set=4&size=150x150
6,Bella,2022-04-04,silver,ITALY,FEMALE,MaineCoon,2376,https://robohash.org/Bella_cat6?set=4&size=150x150
7,Chloe,2018-11-15,smoke,GERMANY,MALE,Bengal,859,https://robohash.org/Chloe_cat7?set=4&size=150x150
8,Simba,2020-02-18,white,GERMANY,FEMALE,Siamese,455,https://robohash.org/Simba_cat8?set=4&size=150x150
9,Nala,2022-02-03,tabby,USA,FEMALE,ScottishFold,745,https://robohash.org/Nala_cat9?set=4&size=150x150
10,Cleo,2021-02-04,smoke,MEXICO,FEMALE,Sphynx,4829,https://robohash.org/Cleo_cat10?set=4&size=150x150
11,Zoe,2019-01-29,cream,CANADA,FEMALE,Siamese,753,https://robohash.org/Zoe_cat11?set=4&size=150x150
12,Oscar,2022-10-18,smoke,USA,FEMALE,Bengal,2377,https://robohash.org/Oscar_cat12?set=4&size=150x150
13,Misty,2020-07-17,black,GERMANY,FEMALE,Ragdoll,1816,https://robohash.org/Misty_cat13?set=4&size=150x150
14,Muffin,2021-10-04,silver,USA,MALE,Sphynx,4475,https://robohash.org/Muffin_cat14?set=4&size=150x150
15,Rocky,2022-02-02,black,ITALY,FEMALE,Bengal,2311,https://robohash.org/Rocky_cat15?set=4&size=150x150
