emp_id,proj_id,role
5,1,Architect
3,1,Developer
13,1,Analyst
20,1,Developer
27,1,Architect
2,2,Manager
8,2,Architect
11,2,Analyst
17,2,Architect
19,2,Developer
34,2,Tester
4,3,Architect
7,3,Tester
17,3,Analyst
18,3,Architect
28,3,Developer
42,3,Developer
6,4,Developer
12,4,Architect
13,4,Architect
17,4,Developer
33,4,Tester
5,5,Manager
7,5,Architect
11,5,Tester
13,5,Manager
3,5,Developer
17,5,Manager
45,5,Analyst
5,6,Architect
6,6,Architect
9,6,Developer
14,6,Analyst
39,6,Tester
50,6,Developer
6,7,Developer
2,7,Tester
10,7,Developer
13,7,Developer
18,7,Analyst
38,7,Manager
46,7,Developer
5,8,Tester
7,8,Analyst
12,8,Analyst
19,8,Analyst
20,8,Analyst
37,8,Developer
21,9,Architect
25,9,Developer
32,9,Architect
41,9,Tester
48,9,Developer
22,9,Analyst
1,10,Analyst
23,10,Developer
29,10,Manager
36,10,Analyst
44,10,Developer
47,10,Tester
10,11,Developer
14,11,Manager
24,11,Developer
35,11,Analyst
43,11,Tester
49,11,Developer
1,12,Analyst
29,12,Developer
30,12,Manager
36,12,Architect
40,12,Developer
47,12,Analyst
