proj_id,proj_name,start_date,end_date
1,AI Platform,2022-10-13,2023-08-15
2,Cloud Migration,2021-01-30,2021-10-22
3,Data Warehouse,2021-09-26,2023-05-08
4,Mobile App,2022-04-29,2022-08-23
5,E-commerce Site,2023-02-08,2024-03-01
6,Cybersecurity Audit,2021-12-09,2022-10-17
7,ERP Implementation,2021-12-23,2022-04-14
8,Marketing Analytics,2022-10-17,2023-12-16
9,Customer Portal,2023-05-01,2024-01-15
10,Supply Chain Optimization,2022-08-15,2023-06-30
11,HR Self-Service Platform,2023-03-10,2023-11-20
12,Financial Reporting Dashboard,2022-06-01,2023-02-28
