order_id,customer_id,book_id,order_date,quantity,total_amount
1,84,169,2023-05-26,8,188.56
2,137,301,2023-01-23,10,216.6
3,216,261,2024-05-27,6,85.5
4,433,343,2023-11-25,7,301.21
5,14,431,2023-07-26,7,136.36
6,439,119,2024-10-11,5,249.4
7,195,467,2023-10-23,6,82.92
8,32,159,2024-05-07,4,144.84
9,109,407,2024-01-04,9,379.71
10,94,122,2024-07-09,4,123.0
11,131,206,2023-10-16,1,38.01
12,454,3,2024-06-17,2,31.5
13,420,180,2023-06-08,5,125.45
14,454,319,2023-08-24,2,85.22
15,127,479,2023-01-10,6,229.62
16,412,196,2023-10-06,8,53.52
17,462,481,2023-03-20,5,52.75
18,377,101,2024-08-07,4,193.96
19,496,60,2023-11-17,9,316.26
20,195,67,2023-07-14,1,10.23
21,356,287,2024-12-05,3,120.57
22,177,427,2024-06-10,3,54.0
23,119,301,2023-08-04,3,64.98
24,266,192,2023-07-10,3,145.11
25,265,250,2023-05-25,10,126.5
26,294,407,2023-06-11,1,42.19
27,310,156,2024-12-03,1,31.68
28,151,423,2024-11-27,8,205.04
29,305,446,2023-10-05,8,275.92
30,438,248,2023-09-23,6,281.94
31,386,279,2024-03-12,8,244.0
32,292,313,2024-12-06,4,188.64
33,478,253,2024-04-15,5,58.3
34,463,146,2024-06-27,3,43.5
35,303,172,2023-07-08,5,184.1
36,417,260,2024-01-21,9,446.31
37,110,411,2023-12-27,4,60.12
38,15,466,2023-06-26,4,148.68
39,488,422,2024-08-03,8,367.28
40,120,450,2024-07-03,2,91.5
41,418,147,2024-05-05,8,361.6
42,415,70,2023-09-19,3,70.35
43,199,305,2024-03-25,7,221.62
44,234,460,2024-07-24,5,179.4
45,470,67,2024-11-16,4,40.92
46,319,442,2023-12-08,1,48.48
47,6,360,2024-07-23,3,148.02
48,458,477,2024-02-25,5,138.55
49,322,336,2024-08-14,7,168.56
50,474,88,2024-04-06,1,40.22
51,155,491,2024-09-01,5,74.35
52,173,161,2024-05-20,7,151.2
53,160,242,2024-01-02,3,101.37
54,446,393,2024-09-01,3,132.0
55,18,281,2024-01-11,7,114.38
56,76,333,2024-11-06,5,138.8
57,24,34,2024-12-02,2,32.98
58,329,369,2024-12-02,7,158.55
59,225,188,2023-02-11,7,140.98
60,404,49,2023-04-26,9,445.5
61,405,361,2024-07-02,5,198.75
62,364,324,2024-04-06,5,230.4
63,16,469,2024-04-13,9,209.25
64,348,160,2024-07-19,10,344.8
65,54,198,2023-05-06,9,201.42
66,180,323,2023-09-08,8,286.64
67,260,129,2023-04-20,9,366.66
68,246,319,2023-03-21,10,426.1
69,261,109,2024-03-23,4,34.16
70,49,447,2023-05-29,6,217.5
71,500,438,2024-06-11,8,267.12
72,290,5,2024-10-19,1,10.95
73,411,81,2023-10-07,1,44.19
74,461,132,2023-04-08,10,204.6
75,291,375,2023-11-30,5,170.75
76,470,466,2024-09-02,10,371.7
77,497,242,2024-03-20,7,236.53
78,44,196,2024-07-23,5,33.45
79,134,28,2023-10-06,2,75.02
80,265,17,2023-06-04,8,42.96
81,383,325,2024-02-13,5,202.0
82,413,387,2023-03-08,5,237.1
83,457,335,2024-01-16,8,378.32
84,280,49,2024-07-05,6,297.0
85,75,31,2023-03-14,9,191.07
86,361,441,2024-04-28,3,122.16
87,167,435,2024-07-11,2,55.52
88,126,262,2023-04-16,5,105.1
89,305,113,2024-08-06,2,12.76
90,457,137,2023-12-23,6,157.98
91,226,142,2024-10-13,10,489.6
92,329,325,2023-02-24,5,202.0
93,366,427,2024-10-23,3,54.0
94,136,88,2024-07-06,6,241.32
95,447,426,2023-10-26,1,32.82
96,456,336,2023-08-09,8,192.64
97,408,221,2023-07-15,10,248.1
98,429,352,2023-12-15,1,6.01
99,166,250,2023-04-20,3,37.95
100,207,63,2023-07-14,1,22.38
101,154,344,2023-01-09,1,39.63
102,295,300,2023-05-10,9,241.83
103,103,21,2024-02-07,3,141.39
104,182,316,2024-01-18,9,79.29
105,125,306,2022-12-20,2,87.84
106,334,449,2023-10-07,3,120.51
107,10,330,2024-10-20,6,192.12
108,281,430,2024-05-25,6,71.4
109,486,368,2024-11-19,2,89.2
110,7,16,2023-04-30,1,10.07
111,174,450,2024-08-25,7,320.25
112,309,403,2022-12-28,2,30.02
113,80,255,2024-02-18,3,73.53
114,362,210,2024-02-24,3,122.79
115,321,136,2024-09-23,8,79.12
116,280,447,2024-02-27,5,181.25
117,385,52,2023-01-24,7,115.71
118,37,189,2023-01-14,3,40.95
119,328,148,2023-09-24,3,36.75
120,101,338,2023-01-14,1,10.17
121,27,63,2024-03-28,6,134.28
122,136,56,2023-02-19,6,47.22
123,495,437,2024-03-10,5,221.45
124,272,122,2024-05-17,10,307.5
125,196,43,2024-06-05,4,189.56
126,88,492,2023-12-08,2,88.14
127,267,295,2024-08-24,7,200.62
128,197,345,2024-09-17,6,155.34
129,364,388,2023-08-02,1,26.62
130,420,17,2023-05-13,1,5.37
131,16,1,2024-05-27,3,64.02
132,469,333,2023-11-22,7,194.32
133,232,458,2023-03-13,4,149.12
134,94,222,2023-04-02,7,207.13
135,174,99,2024-01-24,10,469.3
136,165,70,2023-12-31,4,93.8
137,474,471,2023-11-25,8,363.04
138,59,362,2023-12-02,3,88.29
139,189,26,2024-05-31,9,189.45
140,295,164,2022-12-13,1,41.83
141,107,352,2023-05-05,10,60.1
142,107,434,2024-04-08,2,91.16
143,443,201,2023-10-04,7,260.75
144,432,179,2024-11-10,2,96.42
145,340,477,2024-09-10,8,221.68
146,394,404,2024-04-07,4,62.6
147,277,285,2024-10-08,5,138.25
148,333,429,2024-06-16,1,42.58
149,39,56,2024-11-28,4,31.48
150,389,135,2024-01-01,10,151.3
151,361,288,2024-08-27,7,195.37
152,377,213,2023-10-27,5,33.95
153,484,370,2024-02-19,2,87.82
154,378,391,2023-10-12,5,167.1
155,191,397,2024-01-21,6,168.9
156,176,66,2024-05-27,5,141.45
157,166,245,2024-05-24,10,160.6
158,183,225,2023-07-04,3,108.12
159,174,51,2024-09-11,3,138.9
160,255,85,2023-03-27,3,58.29
161,227,42,2024-01-13,5,241.75
162,295,298,2023-05-21,7,326.62
163,207,384,2023-11-23,3,101.76
164,467,184,2024-06-27,9,47.25
165,382,362,2024-09-23,6,176.58
166,272,486,2023-09-17,6,114.78
167,168,442,2024-11-24,3,145.44
168,324,36,2023-01-11,10,345.1
169,81,415,2024-02-04,10,295.1
170,121,77,2023-05-06,10,442.8
171,364,397,2023-01-12,10,281.5
172,463,423,2024-09-20,1,25.63
173,399,61,2023-07-01,5,205.25
174,34,29,2023-12-17,4,124.48
175,385,103,2023-10-12,1,43.25
176,86,479,2023-09-19,6,229.62
177,378,121,2024-08-21,3,127.41
178,70,298,2023-05-03,10,466.6
179,325,52,2023-02-01,9,148.77
180,460,227,2023-01-20,7,267.19
181,8,117,2023-01-18,3,44.61
182,129,293,2023-11-01,7,125.51
183,335,371,2024-06-08,1,17.4
184,474,88,2024-04-30,2,80.44
185,15,25,2023-03-09,6,51.3
186,167,120,2023-04-03,7,336.21
187,119,275,2023-12-30,1,25.83
188,46,425,2023-03-13,1,24.23
189,107,240,2024-07-11,6,299.4
190,240,273,2024-07-02,4,49.72
191,418,390,2024-03-25,1,39.96
192,144,380,2024-06-24,2,26.34
193,474,36,2023-03-31,7,241.57
194,463,340,2024-11-04,5,249.9
195,437,241,2023-07-17,2,28.12
196,214,468,2023-04-03,7,214.13
197,256,32,2024-05-25,10,215.6
198,373,117,2023-06-13,1,14.87
199,429,18,2024-09-30,10,394.7
200,313,303,2023-11-23,1,6.57
201,67,463,2023-10-11,4,47.96
202,137,69,2023-12-17,8,70.32
203,116,110,2023-12-27,4,120.6
204,47,427,2023-05-26,3,54.0
205,279,457,2023-03-21,2,56.44
206,81,130,2023-07-19,1,6.64
207,194,461,2023-09-06,1,9.6
208,13,101,2024-05-21,6,290.94
209,346,449,2024-01-03,10,401.7
210,287,223,2023-10-14,6,39.12
211,397,209,2024-01-17,10,486.7
212,244,300,2024-04-20,2,53.74
213,325,447,2023-11-17,7,253.75
214,103,114,2024-09-04,7,50.96
215,461,138,2023-08-17,8,198.16
216,104,428,2024-02-28,4,90.92
217,414,142,2022-12-28,2,97.92
218,364,47,2024-02-13,8,162.96
219,186,157,2024-02-11,9,172.53
220,376,275,2023-07-07,1,25.83
221,353,219,2023-09-10,5,104.5
222,331,157,2023-09-19,10,191.7
223,213,31,2022-12-17,10,212.3
224,384,90,2024-07-19,4,66.24
225,272,115,2023-06-08,4,112.48
226,437,35,2024-01-25,9,286.29
227,461,308,2023-05-04,8,166.0
228,400,104,2024-06-07,3,31.68
229,82,482,2024-02-09,7,223.72
230,307,241,2023-09-10,7,98.42
231,22,384,2023-11-11,1,33.92
232,220,229,2024-07-26,5,102.3
233,403,181,2024-04-28,7,271.11
234,149,11,2024-11-21,5,179.75
235,419,459,2024-11-12,3,107.31
236,375,265,2024-11-04,9,419.4
237,47,199,2023-08-15,7,299.67
238,134,280,2024-02-26,6,100.68
239,132,307,2023-09-19,5,72.15
240,457,492,2023-05-30,10,440.7
241,119,69,2024-07-08,6,52.74
242,416,410,2023-06-15,9,398.97
243,82,350,2024-08-02,10,316.7
244,12,380,2024-10-28,3,39.51
245,386,97,2023-11-01,9,411.66
246,401,415,2024-11-14,2,59.02
247,77,142,2024-03-07,10,489.6
248,312,285,2023-09-09,9,248.85
249,131,189,2023-01-15,8,109.2
250,63,65,2023-09-16,9,204.3
251,109,490,2023-12-12,2,25.76
252,405,387,2023-11-15,5,237.1
253,449,273,2023-01-03,3,37.29
254,99,469,2023-07-18,2,46.5
255,217,406,2023-04-19,4,143.16
256,225,174,2024-05-30,9,340.47
257,123,403,2023-11-06,1,15.01
258,179,387,2023-08-08,3,142.26
259,437,77,2023-01-08,2,88.56
260,112,170,2024-05-07,2,22.56
261,200,288,2023-07-25,8,223.28
262,224,376,2022-12-11,6,175.56
263,260,373,2024-08-20,2,78.18
264,290,13,2023-10-29,9,126.36
265,258,100,2024-09-17,9,449.01
266,167,426,2023-06-02,10,328.2
267,467,390,2024-08-30,9,359.64
268,117,56,2024-11-15,9,70.83
269,8,157,2024-03-15,5,95.85
270,120,82,2024-04-13,7,319.9
271,462,40,2023-07-01,1,25.97
272,228,321,2024-11-02,1,24.32
273,357,119,2022-12-14,8,399.04
274,254,120,2024-04-10,2,96.06
275,495,31,2023-01-05,2,42.46
276,166,46,2024-11-16,3,99.51
277,276,292,2022-12-18,1,26.94
278,111,71,2024-11-18,9,346.5
279,204,339,2024-11-13,9,391.59
280,181,377,2023-05-11,8,318.32
281,23,431,2024-11-23,8,155.84
282,364,154,2024-11-22,6,104.64
283,277,471,2024-10-31,8,363.04
284,325,466,2023-01-06,4,148.68
285,198,469,2024-07-30,6,139.5
286,96,264,2023-04-23,2,41.02
287,74,163,2023-06-25,3,57.33
288,6,128,2023-11-13,1,24.04
289,321,491,2023-08-30,2,29.74
290,31,219,2024-08-18,2,41.8
291,214,154,2024-04-15,8,139.52
