order_id,order_date,customer_name,product,category,price,quantity,discount,country,status
1081,02/27/2024,,Keyboard,Accessories,$100,2,20%,USA,delivered
1054,01/17/2024,alice,Headphones,Accessories,$200,5,,germany,pending
1028,08-17-2024,charlie,Laptop,Electronics,1000,2,5%,uk,pending
1013,2024-02-17,alice,Monitor,Electronics,300,5,,Germany,delivered
1015,07/12/2024,emma,Keyboard,Accessories,100,five,5%,USA,shipped
1084,2024-04-26,alice,Headphones,Accessories,200,4,10%,Usa,pending
1045,04-17-2024,charlie,Phone,Electronics,$800,2,,Germany,pending
1034,11-23-2024,emma,Headphones,Accessories,$200,1,,Canada,pending
1034,02/03/2024,emma,Monitor,Electronics,$300,4,15%,Usa,pending
1017,05-06-2024,emma,Printer,Electronics,$250,5,10%,uk,shipped
1065,09/09/2024,ALICE,Laptop,Electronics,1000,2,15%,USA,pending
1048,2024-11-01,emma,Keyboard,Accessories,100,1,,germany,pending
1098,2024-11-24,alice,Keyboard,Accessories,$100,4,10%,germany,shipped
1064,02-24-2024,charlie,Printer,Electronics,$250,2,,germany,shipped
1076,2024-06-14,alice,Phone,Electronics,800,3,,USA,shipped
1093,09/05/2024,ALICE,Printer,Electronics,250,2,5%,UK,delivered
1077,08/04/2024,emma,Headphones,Accessories,200,four,15%,germany,pending
1015,05/06/2024,alice,Monitor,Electronics,$300,5,,USA,delivered
1080,01/31/2024,alice,Laptop,Electronics,1000,1,,Germany,shipped
1069,03-08-2024,emma,Speaker,Accessories,$150,four,,USA,delivered
1055,2024-06-30,david,Camera,Electronics,700,1,0%,usa,pending
1093,06/22/2024,bob,Headphones,Accessories,$200,4,,Germany,shipped
1009,08-14-2024,alice,Laptop,Electronics,$1000,five,5%,Usa,pending
1062,09/03/2024,ALICE,Mouse,Accessories,50,2,10%,Germany,pending
1054,12-22-2024,ALICE,Printer,Electronics,$250,4,,usa,delivered
1094,10/04/2024,,Monitor,Electronics,$300,5,20%,Usa,shipped
1065,02/11/2024,alice,Speaker,Accessories,$150,2,20%,uk,delivered
1076,01-21-2024,alice,Mouse,Accessories,$50,5,5%,Canada,shipped
1033,07/21/2024,,Keyboard,Accessories,$100,1,20%,USA,shipped
1068,04-19-2024,charlie,Tablet,Electronics,500,one,5%,Germany,delivered
1090,06-03-2024,ALICE,Printer,Electronics,$250,5,5%,UK,shipped
1013,10/10/2024,charlie,Keyboard,Accessories,$100,3,10%,germany,pending
1032,01/27/2024,,Mouse,Accessories,50,1,10%,Usa,delivered
1056,10-09-2024,david,Printer,Electronics,$250,one,5%,germany,shipped
1047,10-25-2024,bob,Mouse,Accessories,$50,3,0%,Canada,shipped
1087,05-07-2024,alice,Monitor,Electronics,300,four,5%,Usa,shipped
1052,01/13/2024,,Monitor,Electronics,300,four,5%,UK,shipped
1100,12/25/2024,david,Laptop,Electronics,1000,2,10%,UK,shipped
1028,01-13-2024,bob,Mouse,Accessories,$50,one,,germany,pending
1086,2024-10-01,alice,Phone,Electronics,800,3,10%,usa,shipped
1076,2024-08-10,,Monitor,Electronics,$300,5,5%,UK,shipped
1090,08/11/2024,emma,Printer,Electronics,$250,2,,Canada,delivered
1040,12/05/2024,,Keyboard,Accessories,$100,4,20%,Usa,shipped
1053,2024-12-06,,Tablet,Electronics,$500,3,10%,UK,shipped
1055,10-23-2024,,Monitor,Electronics,$300,4,5%,USA,pending
1065,12-05-2024,emma,Monitor,Electronics,$300,2,,uk,shipped
1003,01/24/2024,david,Speaker,Accessories,150,1,20%,uk,delivered
1089,2024-07-15,david,Headphones,Accessories,$200,one,0%,canada,shipped
1022,12-22-2024,david,Laptop,Electronics,$1000,1,20%,germany,delivered
1040,08-14-2024,ALICE,Printer,Electronics,$250,5,,Germany,pending
1033,05-06-2024,charlie,Printer,Electronics,$250,2,,UK,shipped
1034,2024-06-20,emma,Phone,Electronics,$800,2,,uk,shipped
1053,2024-07-27,emma,Camera,Electronics,$700,two,20%,usa,delivered
1048,09/01/2024,charlie,Keyboard,Accessories,100,4,20%,uk,pending
1028,2024-05-19,david,Laptop,Electronics,$1000,4,5%,germany,shipped
1050,10-30-2024,,Laptop,Electronics,$1000,4,0%,UK,pending
1041,2024-04-18,charlie,Monitor,Electronics,300,4,15%,UK,shipped
1060,01-10-2024,emma,Laptop,Electronics,1000,3,,usa,shipped
1031,04/12/2024,emma,Tablet,Electronics,$500,4,5%,Germany,delivered
1032,07/07/2024,emma,Speaker,Accessories,150,1,,UK,shipped
1074,2024-01-14,emma,Mouse,Accessories,$50,2,5%,USA,delivered
1098,06-03-2024,emma,Phone,Electronics,800,5,15%,Canada,shipped
