item_id,order_id,product_id,quantity,unit_price
1,1,60,4,114.59
2,1,53,4,43.41
3,1,7,1,19.75
4,1,25,2,125.26
5,1,47,3,43.82
6,2,17,1,143.8
7,2,37,2,98.97
8,2,57,2,62.91
9,2,63,3,66.21
10,2,16,1,45.29
11,3,53,1,43.41
12,3,12,2,70.14
13,3,29,4,38.05
14,3,15,3,106.23
15,3,60,3,114.59
16,4,62,2,28.2
17,4,61,4,20.9
18,4,32,2,60.12
19,4,59,2,78.88
20,5,36,4,106.76
21,6,35,3,35.38
22,6,1,4,321.52
23,6,37,2,98.97
24,7,62,4,28.2
25,7,45,3,38.21
26,7,43,2,104.27
27,7,49,2,132.07
28,8,50,4,35.83
29,8,30,4,147.86
30,8,53,4,43.41
31,8,6,2,297.29
32,8,41,4,148.48
33,9,17,3,143.8
34,10,57,1,62.91
35,11,59,1,78.88
36,11,2,4,372.07
37,11,19,3,19.02
38,11,53,3,43.41
39,11,20,4,54.87
40,12,43,4,104.27
41,13,63,2,66.21
42,13,5,3,446.63
43,13,9,2,8.85
44,14,56,1,67.12
45,15,57,2,62.91
46,16,4,1,55.74
47,16,6,3,297.29
48,16,42,3,104.78
49,17,56,4,67.12
50,17,19,2,19.02
51,17,32,2,60.12
52,18,11,2,84.02
53,18,49,4,132.07
54,19,19,3,19.02
55,19,30,1,147.86
56,19,60,4,114.59
57,19,33,3,97.17
58,19,59,2,78.88
59,20,57,3,62.91
60,21,39,4,110.72
61,21,55,4,43.1
62,21,33,1,97.17
63,21,59,2,78.88
64,21,26,4,133.39
65,22,46,1,121.73
66,22,38,1,97.07
67,22,3,4,115.49
68,22,51,3,62.37
69,22,36,2,106.76
70,23,46,1,121.73
71,23,29,1,38.05
72,23,25,3,125.26
73,23,33,4,97.17
74,23,18,1,19.82
75,24,47,4,43.82
76,24,17,2,143.8
77,24,12,2,70.14
78,24,38,2,97.07
79,24,42,3,104.78
80,25,35,3,35.38
81,25,22,1,71.62
82,25,33,4,97.17
83,25,62,1,28.2
84,25,38,2,97.07
85,26,51,1,62.37
86,26,47,4,43.82
87,27,34,1,28.58
88,28,48,2,137.4
89,28,34,4,28.58
90,28,49,1,132.07
91,28,14,3,115.03
92,29,29,1,38.05
93,29,9,2,8.85
94,29,60,1,114.59
95,29,39,1,110.72
96,29,53,3,43.41
97,30,15,4,106.23
98,30,13,4,122.37
99,30,31,3,38.75
100,30,18,4,19.82
101,31,20,3,54.87
102,31,54,1,113.02
103,31,13,3,122.37
104,31,63,2,66.21
105,31,53,4,43.41
106,32,31,3,38.75
107,32,47,1,43.82
108,32,13,4,122.37
109,32,48,3,137.4
110,33,16,1,45.29
