product_id,product_name,category_id,price,stock_quantity
1,Smartphone X12,1,321.52,12
2,Laptop Pro 15,1,372.07,125
3,Wireless Earbuds,1,115.49,377
4,USB-C Hub,1,55.74,379
5,Tablet Air,1,446.63,44
6,Bluetooth Speaker,1,297.29,16
7,Webcam HD,1,19.75,111
8,Mechanical Keyboard,1,120.17,308
9,Python Crash Course,2,8.85,101
10,Database Fundamentals,2,108.82,359
11,The Great Novel,2,84.02,112
12,History of Computing,2,70.14,142
13,SQL Cookbook,2,122.37,3
14,Data Science Handbook,2,115.03,81
15,Clean Code,2,106.23,174
16,Design Patterns,2,45.29,110
17,Cotton T-Shirt,3,143.8,172
18,Denim Jeans,3,19.82,194
19,Running Shoes,3,19.02,433
20,Winter Jacket,3,54.87,135
21,Wool Sweater,3,122.03,373
22,Silk Scarf,3,71.62,63
23,Cargo Shorts,3,146.1,193
24,Baseball Cap,3,16.43,150
25,Coffee Maker,4,125.26,316
26,Desk Lamp,4,133.39,185
27,Throw Pillow,4,88.72,360
28,Cutting Board,4,15.09,338
29,Blender Pro,4,38.05,148
30,Shower Curtain,4,147.86,437
31,Wall Clock,4,38.75,51
32,Bookshelf,4,60.12,232
33,Yoga Mat,5,97.17,186
34,Dumbbells Set,5,28.58,181
35,Tennis Racket,5,35.38,136
36,Running Watch,5,106.76,349
37,Cycling Helmet,5,98.97,311
38,Jump Rope,5,97.07,273
39,Resistance Bands,5,110.72,83
40,Water Bottle,5,72.03,138
41,Building Blocks,6,148.48,327
42,Board Game Classic,6,104.78,112
43,Puzzle 1000pc,6,104.27,431
44,RC Car,6,116.41,28
45,Stuffed Bear,6,38.21,16
46,Card Game,6,121.73,205
47,Art Kit,6,43.82,108
48,Science Set,6,137.4,290
49,Face Moisturizer,7,132.07,161
50,Sunscreen SPF50,7,35.83,255
51,Lip Balm Set,7,62.37,468
52,Shampoo Natural,7,98.21,73
53,Hand Cream,7,43.41,126
54,Eye Serum,7,113.02,275
55,Body Lotion,7,43.1,299
56,Nail Kit,7,67.12,298
57,Organic Granola,8,62.91,112
58,Green Tea Box,8,149.61,70
59,Dark Chocolate,8,78.88,46
60,Trail Mix,8,114.59,440
61,Protein Bars,8,20.9,321
62,Olive Oil Extra,8,28.2,348
63,Honey Jar,8,66.21,32
64,Almond Butter,8,60.79,305
