order_id,customer_id,order_date,status,total_amount
1,5,2024-12-28,processing,56.51
2,5,2024-01-17,cancelled,271.04
3,33,2024-05-01,completed,538.49
4,14,2024-10-03,completed,581.45
5,37,2024-10-22,completed,201.97
6,31,2024-07-27,completed,84.52
7,28,2024-06-30,completed,334.77
8,4,2024-12-10,processing,787.49
9,7,2024-02-01,completed,585.29
10,7,2024-05-07,completed,160.27
11,29,2024-03-12,completed,154.96
12,30,2024-05-07,cancelled,739.38
13,29,2024-10-08,completed,49.96
14,35,2024-01-08,completed,741.83
15,16,2024-03-26,completed,393.66
16,14,2024-07-24,completed,140.06
17,1,2024-07-18,completed,741.95
18,30,2024-05-26,completed,560.31
19,36,2024-12-04,processing,394.47
20,13,2024-05-31,completed,775.28
21,38,2025-01-11,shipped,58.16
22,21,2024-01-30,completed,471.5
23,33,2024-09-28,completed,54.93
24,33,2024-02-11,cancelled,156.8
25,39,2024-02-04,processing,690.84
26,26,2024-03-02,shipped,204.51
27,39,2024-01-21,shipped,74.77
28,38,2024-10-16,shipped,259.93
29,17,2024-04-14,processing,575.79
30,16,2024-05-15,completed,113.39
31,20,2024-08-22,completed,743.92
32,5,2024-01-05,completed,500.72
33,37,2024-02-21,completed,434.73
34,33,2024-05-15,completed,747.27
35,5,2024-05-05,completed,235.14
36,29,2024-10-05,processing,248.99
37,34,2024-01-05,processing,655.51
38,20,2024-12-05,completed,751.75
39,9,2024-05-15,completed,712.87
40,36,2024-03-20,completed,232.59
41,14,2025-01-02,completed,170.84
42,17,2024-09-15,completed,208.39
43,4,2024-02-17,processing,344.62
44,18,2024-01-23,completed,273.51
45,9,2024-11-22,completed,137.65
46,29,2024-10-09,processing,347.87
47,1,2024-02-27,completed,756.59
48,10,2024-10-06,completed,669.33
49,38,2024-10-09,completed,349.53
50,3,2024-06-06,completed,720.2
51,3,2024-07-02,completed,548.83
52,7,2024-06-30,cancelled,452.31
53,27,2024-11-13,processing,132.1
54,16,2024-03-24,cancelled,650.51
55,27,2024-01-13,completed,591.89
56,22,2025-02-04,completed,643.77
57,16,2024-05-16,completed,632.03
58,7,2024-07-14,cancelled,40.59
59,31,2024-04-23,completed,655.1
60,30,2024-06-28,completed,658.22
61,15,2024-04-24,completed,531.43
62,26,2024-06-17,completed,692.84
63,18,2024-06-28,processing,412.43
64,35,2024-06-18,completed,101.12
65,17,2024-04-01,shipped,770.4
66,17,2024-01-20,completed,481.29
67,23,2025-01-08,cancelled,257.81
68,39,2024-09-18,completed,314.3
69,37,2024-04-07,completed,45.07
70,28,2024-01-01,shipped,741.2
71,35,2024-12-17,processing,752.81
72,13,2024-07-05,completed,65.28
73,22,2024-11-15,completed,534.08
74,8,2025-01-03,completed,410.63
75,27,2024-06-16,completed,560.79
76,36,2024-03-06,completed,342.15
77,25,2024-12-12,processing,723.22
78,40,2024-10-18,completed,330.8
79,1,2024-06-04,completed,176.04
80,38,2024-11-06,processing,264.58
81,29,2024-08-14,processing,178.82
82,31,2025-01-11,completed,530.49
83,19,2024-09-20,processing,510.02
84,22,2024-02-17,cancelled,762.08
85,16,2024-12-10,completed,187.47
86,13,2024-03-16,completed,46.51
87,31,2024-11-08,cancelled,617.11
88,30,2024-07-31,processing,464.78
89,25,2024-09-10,completed,202.75
90,1,2025-01-19,cancelled,618.34
91,7,2025-02-02,completed,182.88
92,34,2024-08-25,completed,450.35
93,8,2024-08-21,completed,643.12
94,34,2024-10-13,shipped,260.67
95,29,2024-11-09,cancelled,578.23
96,33,2024-08-06,cancelled,726.42
97,29,2024-03-22,processing,690.58
98,29,2024-05-12,cancelled,205.32
99,18,2025-01-27,cancelled,421.83
100,16,2024-05-20,completed,71.21
101,19,2024-04-30,completed,275.32
102,35,2024-02-11,completed,129.16
103,25,2024-12-21,completed,568.07
104,5,2024-07-31,completed,271.4
105,30,2024-07-31,completed,173.4
106,27,2024-07-18,cancelled,471.42
107,2,2025-01-26,shipped,310.5
108,1,2024-06-29,completed,605.25
109,27,2024-10-02,processing,590.36
110,39,2024-04-22,completed,183.34
111,28,2024-09-05,completed,317.2
112,26,2025-01-05,completed,674.0
113,9,2024-11-14,shipped,31.3
114,26,2024-10-30,shipped,533.77
115,6,2024-11-25,completed,117.2
116,30,2024-04-03,completed,215.52
117,21,2024-04-18,completed,268.21
118,25,2024-05-22,cancelled,761.45
119,27,2024-05-09,cancelled,74.71
120,2,2025-01-18,shipped,51.15
121,23,2024-04-24,processing,64.21
122,3,2025-01-21,completed,760.19
123,13,2024-01-11,shipped,130.38
124,9,2024-08-30,processing,100.37
125,14,2024-08-26,processing,212.43
126,24,2024-03-26,shipped,489.73
127,8,2025-02-02,cancelled,139.37
128,20,2024-02-25,shipped,30.29
129,20,2024-10-21,processing,727.34
130,25,2024-07-22,processing,166.68
131,38,2024-12-19,cancelled,505.52
132,7,2024-12-22,cancelled,248.25
133,39,2024-03-02,cancelled,787.24
134,3,2024-06-26,shipped,348.42
135,24,2024-02-05,shipped,521.56
136,1,2024-08-03,cancelled,397.26
137,28,2024-07-04,processing,714.34
138,30,2024-12-28,completed,354.03
139,34,2024-11-29,completed,496.57
140,35,2025-01-31,completed,377.25
141,38,2024-05-17,completed,682.85
142,6,2024-05-22,completed,202.65
143,30,2024-10-18,shipped,537.87
144,22,2024-01-15,completed,682.25
145,12,2024-09-06,completed,290.31
146,17,2024-06-23,completed,705.45
147,18,2024-10-11,completed,418.14
148,13,2024-02-13,completed,578.86
149,32,2024-10-11,cancelled,199.86
150,31,2024-11-26,processing,397.75
151,2,2024-02-17,completed,185.06
152,16,2024-06-05,processing,469.43
153,31,2024-10-10,shipped,281.57
154,36,2024-06-18,completed,565.26
155,18,2024-06-05,completed,192.13
156,13,2024-06-10,completed,596.88
157,12,2024-04-08,completed,593.5
158,18,2025-01-05,shipped,781.52
159,34,2024-11-01,completed,784.6
160,13,2024-05-31,completed,295.1
161,20,2024-01-08,processing,431.97
162,18,2024-01-24,completed,447.15
163,9,2024-11-22,cancelled,604.71
164,7,2024-01-07,shipped,234.63
165,31,2024-08-13,completed,155.65
166,4,2024-05-09,cancelled,387.41
167,5,2024-07-24,completed,68.52
168,4,2024-03-18,completed,650.8
169,20,2024-02-13,completed,103.58
170,27,2024-11-06,shipped,634.69
171,15,2025-02-01,shipped,310.5
172,29,2024-06-01,cancelled,474.93
173,28,2024-06-05,shipped,500.61
174,40,2025-01-13,completed,758.6
175,14,2024-11-16,completed,219.07
176,6,2024-03-21,completed,147.31
177,5,2024-03-21,completed,332.73
178,39,2024-08-28,completed,35.79
179,19,2024-12-27,completed,565.36
180,30,2024-02-06,processing,194.4
181,17,2024-11-16,shipped,532.33
182,13,2024-08-05,completed,440.2
183,10,2024-05-16,cancelled,122.37
184,4,2024-03-25,cancelled,253.01
185,37,2024-05-27,completed,108.24
186,20,2024-12-24,completed,754.71
187,33,2024-10-03,completed,355.83
188,39,2024-01-21,completed,590.28
189,39,2024-05-08,completed,82.15
190,37,2024-10-27,completed,799.66
191,18,2024-10-22,completed,612.86
192,12,2024-08-28,shipped,524.69
