shipping_id,order_id,carrier,ship_date,delivery_date,shipping_cost
1,3,DHL,2024-05-02,2024-05-04,6.12
2,4,UPS,2024-10-04,2024-10-09,18.63
3,5,USPS,2024-10-25,2024-10-29,10.24
4,6,FedEx,2024-07-28,2024-08-02,16.0
5,7,DHL,2024-07-01,2024-07-03,11.57
6,9,DHL,2024-02-02,2024-02-06,21.29
7,10,DHL,2024-05-08,2024-05-10,4.53
8,11,UPS,2024-03-15,2024-03-19,24.51
9,13,DHL,2024-10-09,2024-10-13,20.47
10,14,DHL,2024-01-10,2024-01-17,9.56
11,15,DHL,2024-03-27,2024-03-31,22.59
12,16,USPS,2024-07-25,2024-07-30,4.93
13,17,DHL,2024-07-20,2024-07-24,8.74
14,18,USPS,2024-05-29,2024-05-31,7.16
15,20,FedEx,2024-06-01,2024-06-08,11.21
16,21,DHL,2025-01-14,,8.77
17,22,FedEx,2024-02-01,2024-02-07,12.78
18,23,DHL,2024-10-01,2024-10-04,13.99
19,26,FedEx,2024-03-04,,22.95
20,27,FedEx,2024-01-24,,15.99
21,28,UPS,2024-10-17,,23.92
22,30,DHL,2024-05-16,2024-05-19,24.41
23,31,UPS,2024-08-23,2024-08-25,12.88
24,32,DHL,2024-01-06,2024-01-13,7.1
25,33,USPS,2024-02-23,2024-03-01,23.19
26,34,FedEx,2024-05-16,2024-05-21,15.67
27,35,USPS,2024-05-07,2024-05-13,13.61
28,38,FedEx,2024-12-08,2024-12-14,16.33
29,39,DHL,2024-05-16,2024-05-21,7.13
30,40,FedEx,2024-03-21,2024-03-27,20.36
31,41,USPS,2025-01-05,2025-01-09,22.43
32,42,USPS,2024-09-17,2024-09-24,14.19
33,44,DHL,2024-01-24,2024-01-27,9.77
34,45,UPS,2024-11-25,2024-12-01,18.29
35,47,DHL,2024-02-28,2024-03-04,22.67
36,48,USPS,2024-10-09,2024-10-12,5.03
37,49,DHL,2024-10-11,2024-10-15,4.41
38,50,USPS,2024-06-08,2024-06-12,21.69
39,51,FedEx,2024-07-03,2024-07-06,10.3
40,55,DHL,2024-01-15,2024-01-19,19.29
41,56,FedEx,2025-02-05,2025-02-10,8.43
42,57,DHL,2024-05-19,2024-05-24,19.94
43,59,USPS,2024-04-24,2024-04-30,20.61
44,60,FedEx,2024-06-30,2024-07-07,14.63
45,61,UPS,2024-04-27,2024-05-03,4.6
46,62,UPS,2024-06-18,2024-06-20,9.23
47,64,DHL,2024-06-19,2024-06-23,18.79
48,65,USPS,2024-04-03,,21.28
49,66,DHL,2024-01-23,2024-01-25,18.29
50,68,UPS,2024-09-20,2024-09-25,16.46
51,69,UPS,2024-04-09,2024-04-15,15.57
52,70,USPS,2024-01-02,,21.58
53,72,USPS,2024-07-08,2024-07-15,5.89
54,73,FedEx,2024-11-17,2024-11-19,7.41
55,74,UPS,2025-01-04,2025-01-11,8.72
