product_id,supplier_id,cost_price
1,1,173.3
1,10,159.1
2,1,241.07
2,10,218.91
3,1,51.33
3,10,56.14
4,1,30.88
4,10,29.4
5,1,182.82
6,1,168.5
7,1,10.64
7,9,9.87
8,1,50.29
8,9,47.5
9,2,5.73
10,2,62.54
11,2,34.16
12,2,45.09
13,2,53.45
13,10,48.65
14,2,74.37
15,2,54.69
16,2,21.03
17,3,76.76
18,3,11.78
19,3,7.96
20,3,28.85
20,9,30.56
21,3,71.9
21,9,76.14
22,3,45.45
23,3,73.52
24,3,8.49
25,4,72.54
26,4,55.7
26,10,56.03
27,4,61.41
28,4,7.24
28,9,7.84
29,4,23.94
29,9,24.3
30,4,74.88
30,10,80.05
31,4,18.25
32,4,40.53
33,5,66.49
34,5,18.61
34,9,20.36
35,5,16.02
36,5,50.15
37,5,39.61
37,10,37.25
38,5,48.75
39,5,46.27
40,5,45.55
40,9,48.84
41,6,76.03
41,9,74.44
42,6,52.49
43,6,64.62
44,6,69.24
45,6,17.84
46,6,62.51
46,9,59.94
47,6,27.11
47,9,29.54
48,6,90.03
48,10,91.25
49,7,76.7
49,9,83.87
50,7,21.21
51,7,27.58
51,10,26.13
52,7,44.23
52,10,40.59
53,7,23.18
54,7,68.71
55,7,26.55
56,7,41.6
56,10,44.8
57,8,41.81
58,8,64.4
59,8,35.4
60,8,55.97
61,8,8.83
62,8,12.64
63,8,33.2
63,9,35.81
64,8,32.18
64,9,32.87
